product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,21216,,False,9999976,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,MD,N/A,,Information belongs to someone else
Debt collection,"Upon reviewing my credit report, I identified multiple accounts that appear to be fraudulent and were added without my consent.",2024-09-03T12:00:00-05:00,Attempts to collect debt not owed,I do not know,29063,,True,9999975,Yes,Consent provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,SC,N/A,,Debt is not yours
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30339,,False,9999972,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,48075,,False,9999971,Yes,,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,MI,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Debt collection,sent letters to aargon agency asking for validation of debt after the 30 day mark I didn't know the account had been sent to them the original account was with XXXXXXXX XXXX neither company never notified me see previous complaint with cfpb XXXX aargon replied the debt is verified when I never received anything in the mail from them I want proof these things were sent to me I have the right by law 15 u.s.c. 1681i I have filed a complaint with the ftc and if this is not resolved I will be contacting an attorney aargon has no proof these documents were sent to me ... .also the dates in aargons cfpb response don't match up with what is on my credit report..,2024-09-09T12:00:00-05:00,Written notification about debt,Other debt,480XX,Servicemember,True,9999970,Yes,Consent provided,Closed with explanation,Web,"Aargon Agency, Inc.",2024-09-03T12:00:00-05:00,MI,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Didn't receive notice of right to dispute
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,21206,,False,9999969,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,MD,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,29588,,False,9999967,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,SC,N/A,,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,35806,,False,9999966,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,AL,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,"I am writing to you as a concerned consumer regarding the accuracy and fairness of the information contained in my credit report. As you are aware, the Fair Credit Reporting Act ( FCRA ) ( 15 USC 1681 ), which was enacted to promote the accuracy, fairness, and privacy of information in the files of consumer reporting agencies, grants me certain rights to ensure that my credit report is correct and that I am treated fairly in the credit reporting process. Under the FCRA, I am entitled to the following rights : The Right to Accurate Reporting The Right to Dispute Inaccurate Information The Right to Be Notified of Adverse Actions The Right to Limit Access to My Credit Report The Right to Privacy and Confidentiality The Right to Seek Damages for Violations I am asserting these rights in my dealings with your agency to ensure that my credit report is accurate, complete, and reflective of my true credit history. Any discrepancies or inaccuracies should be promptly corrected to avoid any adverse impact on my creditworthiness. 
XXXX XXXX",2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,11219,,True,9999965,Yes,Consent provided,Closed with non-monetary relief,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,NY,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,53218,,False,9999964,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,WI,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Personal information incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,92562,,False,9999963,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,CA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit card,,2024-09-03T12:00:00-05:00,Incorrect information on your report,General-purpose credit card or charge card,60415,,False,9999962,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,IL,N/A,,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,72404,,False,9999961,No,Consent not provided,Closed with non-monetary relief,Web,"CCS Financial Services, Inc.",2024-09-03T12:00:00-05:00,AR,N/A,Company believes it acted appropriately as authorized by contract or law,Reporting company used your report improperly
